Nome,Endereço,Estado,Cidade,País,CEP,Total de Avaliações,Média de Avaliações,Avaliação Google,Avaliação Foursquare,Avaliação Facebook,Avaliação Trip,Posição no Ranking da Cidade,Site,Instagram,Telefone,Tipos de Cozinha,Horário,Faixa de Preço por Pessoa,Preço Médio por Pessoa,Estacionamento,Lugares Ao Ar Livre,Wi-Fi,Reserva,Entrega,Para Viagem,Música,TV,Acessível a cadeiras de rodas,Crianças,Grupos Grandes,Serviço de Garçom
Dorsé,"Estação Central (Metrô de Belo Horizonte) Rua Sapucaí, 271",Minas Gerais,Belo Horizonte,Brasil,30150-050,3112,4.4,4.6,4.4,4.4,4.5,#18 de 18306 restaurantes em Belo Horizonte,facebook.com,@dorsebh,+55 31 3327-8516,"Brasileira, Opções vegetarianas",Seg: Fechado; Ter: 11:30-00:00; Qua: 11:30-00:00; Qui: 11:30-00:00; Sex: 11:30-00:00; Sáb: 12:00-00:00; Dom: 12:00-17:00,54.00 À 140.00,97,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Mania Mineira,"Estação Carlos Prates R. Paracatu, 1099",Minas Gerais,Belo Horizonte,Brasil,30180-091,1068,3.7,4.4,3.0,3.9,4.0,#19 de 18306 restaurantes em Belo Horizonte,facebook.com,@maniamineira,+55 31 98676-1365,Brasileira,Seg: 11:00-15:00; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00; Sáb: 11:00-15:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não
Restaurante Drummond,"Rua Professor Moraes, 600 Savassi",Minas Gerais,Belo Horizonte,Brasil,30150-370,409,4.2,4.4,3.5,4.6,4.5,#20 de 18306 restaurantes em Belo Horizonte,facebook.com,@restaurantedrummond,+55 31 3064-6520,"Brasileira, Francesa, Opções vegetarianas",Seg: 12:00-23:00; Ter: 12:00-23:00; Qua: 12:00-23:00; Qui: 12:00-23:00; Sex: 12:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-23:00,140.00 À 270.00,205,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não
Conceito Gourmet,"Estação Central (Metrô de Belo Horizonte) R. Rio de Janeiro, 1353",Minas Gerais,Belo Horizonte,Brasil,30160-041,568,3.6,4.5,3.1,5.0,3.5,#21 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 3267-3441,Brasileira,Seg: 11:00-15:15; Ter: 11:00-15:15; Qua: 11:00-15:15; Qui: 11:00-15:15; Sex: 11:00-15:15; Sáb: 11:00-15:15; Dom: Fechado,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Do Peixe,"Rua Dr. Jeferson de Oliveira, 231",Minas Gerais,Belo Horizonte,Brasil,31560-230,2551,4.3,4.6,3.8,4.3,4.5,#22 de 18306 restaurantes em Belo Horizonte,facebook.com,@dopeixerestaurante,+55 31 2552-4014,Frutos do mar,Seg: Fechado; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-18:00,140.00 À 270.00,205,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante A Grande Muralha,"Estação Lagoinha Rua Santa Catarina, 781 Lourdes",Minas Gerais,Belo Horizonte,Brasil,30170-080,757,4.0,4.5,4.1,4.6,4.0,#23 de 18306 restaurantes em Belo Horizonte,grandemuralha.com.br,@restauranteagrandemuralhabh,+55 31 3291-5060,Chinês,Seg: Fechado; Ter: Fechado; Qua: Fechado; Qui: 11:30-14:30 18:30-22:00; Sex: 11:30-14:30 18:30-22:00; Sáb: 11:30-15:30 18:30-22:00; Dom: 11:30-17:00,70.00 À 98.00,84,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
"Vasto Restaurante BH: Carnes Nobres, Sobremesas, Sushi, Drinks, Vinho, Chopp","R. Francisco Deslandes, 900",Minas Gerais,Belo Horizonte,Brasil,30310-530,840,5.0,4.9,Sem Avaliação,Sem Avaliação,5.0,#24 de 18306 restaurantes em Belo Horizonte,qr.vastorestaurante.com,Sem Informação,+55 31 3995-8411,"Brasileira, Sul Americana, Frutos do mar, Churrascarias",Seg: 18:00-23:00; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 11:30-15:00 18:00-23:00; Sex: 11:30-00:00; Sáb: 11:30-00:00; Dom: 11:30-18:00,140.00 À 270.00,205,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Minas I,"R. da Bahia, 2244",Minas Gerais,Belo Horizonte,Brasil,30160-010,1476,4.4,4.5,4.3,5.0,4.0,#25 de 18306 restaurantes em Belo Horizonte,facebook.com,@restaurantedominas1,+55 31 3516-1310,"Brasileira, Sul Americana",Seg: 11:00-15:00; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-16:00; Dom: 11:00-16:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Hokkaido | Comida Japonesa e Delivery,"Rodovia BR 356, Belo Horizonte",Brasil,Minas Gerais,30320-901,Sem Informação,1077,4.3,4.6,3.6,4.5,4.5,#26 de 18306 restaurantes em Belo Horizonte,hokkaido.com.br,@restaurantehokkaidobh,+55 31 3286-4020,"Japonesa, Sushi, Opções vegetarianas",Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-23:00; Dom: 12:00-22:00,140.00 À 280.00,210,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Paradiso,"R. Leopoldina, 347",Minas Gerais,Belo Horizonte,Brasil,30330-230,1968,4.3,4.6,3.6,4.4,4.5,#27 de 18306 restaurantes em Belo Horizonte,Sem Informação,@paradisorestaurante,+55 31 3318-6813,"Italiana, Opções vegetarianas",Seg: Fechado; Ter: Fechado; Qua: 18:30-23:00; Qui: 18:30-23:00; Sex: 18:30-23:30; Sáb: 12:30-17:00 18:30-23:30; Dom: 12:30-17:00,68.00 À 96.00,82,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Amadeus - Bar e Restaurante,"Estação Central (Metrô de Belo Horizonte) R Alagoas, 699 Savassi",Minas Gerais,Belo Horizonte,Brasil,34580-220,2795,4.2,4.5,4.1,3.7,4.5,#28 de 18306 restaurantes em Belo Horizonte,Sem Informação,@amadeusrestauranteebar,+55 31 3261-4292,"Brasileira, Sul Americana, Sushi, Opções vegetarianas",Seg: 11:30-14:30 18:00-23:00; Ter: 11:30-14:30 18:00-23:00; Qua: 11:30-14:30 18:00-23:00; Qui: 11:30-14:30 18:00-23:00; Sex: 11:30-14:30 18:00-23:00; Sáb: 11:30-15:00 18:00-23:00; Dom: 11:30-15:00,55.00 À 140.00,97.5,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Gennaro Lourdes,"Estação Carlos Prates R. Santa Catarina, 1235",Minas Gerais,Belo Horizonte,Brasil,30170-081,2972,4.0,4.9,Sem Avaliação,Sem Avaliação,3.0,#29 de 18306 restaurantes em Belo Horizonte,gennaro.com.br,@gennarorestaurante,+55 31 3140-7400,Italiana,Seg: Fechado; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 12:00-16:00 18:00-00:30; Sáb: 12:00-00:30; Dom: 12:00-17:30,54.00 À 140.00,97,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Massala,"Av. Fleming, 224",Minas Gerais,Belo Horizonte,Brasil,31310-490,446,4.9,4.8,Sem Avaliação,4.8,5.0,#30 de 18306 restaurantes em Belo Horizonte,linktr.ee,@massalarestaurante,+55 31 3234-2673,"Indiana, Opções vegetarianas",Seg: 18:00-23:00; Ter: 11:00-15:00 18:00-23:00; Qua: 11:00-15:00 18:00-23:00; Qui: 11:00-15:00 18:00-23:00; Sex: 11:00-15:00 18:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-22:00,54.00 À 140.00,97,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Macau,"Estação Carlos Prates Av. Olegário Maciel, 1767 Lourdes",Minas Gerais,Belo Horizonte,Brasil,30180-111,4438,4.4,4.6,4.3,4.3,4.5,#31 de 18306 restaurantes em Belo Horizonte,Sem Informação,@restaurantemacau,+55 31 3337-6193,"Chinês, Opções vegetarianas",Seg: Fechado; Ter: 11:30-15:00 18:00-22:00; Qua: 11:30-15:00 18:00-22:00; Qui: 11:30-15:00 18:00-22:00; Sex: 11:30-15:00 18:00-22:30; Sáb: 11:30-16:00 18:00-22:30; Dom: 11:30-16:00,54.00 À 140.00,97,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Pizzaria & Restaurante Fazendinha,"Estação Primeiro de Maio Av. Isabel Bueno, 1082",Belo Horizonte,Jaraguá,Minas Gerais,Brasil,3281,4.3,4.5,4.0,5.0,4.0,#32 de 18306 restaurantes em Belo Horizonte,pizzariafazendinha.com.br,Sem Informação,+55 31 3441-0758,"Pizza, Brasileira, Churrascarias",Seg: 17:30-00:00; Ter: 17:30-00:00; Qua: 17:30-00:00; Qui: 17:30-00:00; Sex: 17:30-00:00; Sáb: 11:30-00:00; Dom: 11:30-22:00,55.00 À 140.00,97.5,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Xapuri,"Rua Mandacaru, 260 Bairro Trevo - Pampulha",Minas Gerais,Belo Horizonte,Brasil,31370-270,19221,4.5,4.6,4.5,4.3,4.5,#33 de 18306 restaurantes em Belo Horizonte,restaurantexapuri.com.br,@xapurirestaurante,+55 31 3496-6198,"Brasileira, Opções vegetarianas",Seg: Fechado; Ter: 11:00-22:00; Qua: 11:00-22:00; Qui: 11:00-22:00; Sex: 11:00-22:00; Sáb: 11:00-22:00; Dom: 11:00-17:00,54.00 À 82.00,68,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Feijão Maletta,"Estação Central (Metrô de Belo Horizonte) Rua da Bahia 1148 Sobreloja 14, Belo Horizonte",Brasil,Minas Gerais,011,Sem Informação,174,4.5,4.8,4.2,Sem Avaliação,4.5,#34 de 18306 restaurantes em Belo Horizonte,facebook.com,@feijaomaletta,+55 31 99882-1079,"Brasileira, Vegetariana, Bar de Coquetéis",Seg: 11:00-14:30; Ter: 11:00-14:30; Qua: 11:00-23:30; Qui: 11:00-23:30; Sex: 11:00-23:30; Sáb: 11:00-23:30; Dom: Fechado,13.00 À 16.00,14.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Minas II,"Avenida dos Bandeirantes 2323 Minas Tênis Clube, Belo Horizonte",Brasil,Minas Gerais,30210-420,Sem Informação,275,4.0,4.6,3.4,4.0,4.0,#35 de 18306 restaurantes em Belo Horizonte,minastenisclube.com.br,@restauranteminas2,+55 31 3227-0338,Brasileira,Seg: Fechado; Ter: Fechado; Qua: Fechado; Qui: 11:00-15:00; Sex: 11:00-15:00; Sáb: 11:00-15:30; Dom: 11:00-15:30,54.00 À 140.00,97,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
Olga Nur BH,"Rua Curitiba, 2202",Minas Gerais,Belo Horizonte,Brasil,Sem Informação,1709,3.9,4.5,4.2,Sem Avaliação,4.0,#36 de 18306 restaurantes em Belo Horizonte,facebook.com,@olganurbh,+55 31 3566-1851,"Halal, Bar de Coquetéis, Opções vegetarianas",Seg: Fechado; Ter: 12:00-15:00 19:00-00:00; Qua: 12:00-15:00 19:00-00:00; Qui: 12:00-15:00 19:00-00:00; Sex: 12:00-01:00; Sáb: 12:00-01:00; Dom: 12:00-18:00,180.00 À 550.00,365,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
"La Palma Restaurante, Pizzaria e Cervejaria","Rua Professor Jerson Martins, 146",Minas Gerais,Belo Horizonte,Brasil,31270-380,4048,4.4,4.6,4.5,4.3,4.5,#37 de 18306 restaurantes em Belo Horizonte,menudigital.app.br,@restaurantelapalma,+55 31 3441-4455,"Italiana, Pizza, Opções vegetarianas",Seg: 17:00-23:00; Ter: 11:30-00:00; Qua: 11:30-00:00; Qui: 11:30-00:00; Sex: 11:30-00:00; Sáb: 11:30-00:00; Dom: 11:30-18:00,72.00 À 100.00,86,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Miski Mikuy gastronomia peruana,"R. Barroso Neto, 273",Minas Gerais,Belo Horizonte,Brasil,30570-670,521,4.8,4.7,Sem Avaliação,Sem Avaliação,5.0,#38 de 18306 restaurantes em Belo Horizonte,Sem Informação,@miski_mikuy_bh_peruano,+55 31 98504-2059,Peruana,Seg: Fechado; Ter: Fechado; Qua: 11:30-16:00 19:30-23:00; Qui: 11:30-16:00 19:30-23:00; Sex: 11:30-16:00 19:30-23:00; Sáb: 11:30-16:00 19:30-23:00; Dom: 11:30-16:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Nonna Carmela,"Rua Antonio De Albuquerque, 1.607 Lourdes",Minas Gerais,Belo Horizonte,Brasil,30140-172,1661,4.3,4.4,4.3,4.6,4.0,#39 de 18306 restaurantes em Belo Horizonte,Sem Informação,@nonna.carmela,+55 31 3243-6754,Italiana,Seg: Fechado; Ter: 12:00-15:00 19:00-22:50; Qua: 12:00-15:00 19:00-22:50; Qui: 12:00-15:00 19:00-23:00; Sex: 12:00-15:00 19:00-00:00; Sáb: 12:00-16:00 19:00-00:00; Dom: 12:00-16:30,70.00 À 98.00,84,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Dona Fulô Bh,"Estação Carlos Prates Rua Santa Catarina 778, Lourdes",Minas Gerais,Belo Horizonte,Brasil,30170-081,1415,4.7,4.8,Sem Avaliação,Sem Avaliação,4.5,#40 de 18306 restaurantes em Belo Horizonte,facebook.com,@donafulobh,+55 31 2516-8973,Brasileira,Seg: Fechado; Ter: Fechado; Qua: 11:30-15:00 17:00-23:00; Qui: 11:30-15:00 17:00-23:00; Sex: 11:30-15:00 17:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-16:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Indian Gourmet,"Estação Central (Metrô de Belo Horizonte) Rua Alvarenga Peixoto 595, Belo Horizonte",Brasil,Minas Gerais,30180-124,Sem Informação,821,4.3,4.7,3.8,4.3,4.5,#41 de 18306 restaurantes em Belo Horizonte,facebook.com,@indian_gourmet,+55 31 2555-9005,"Indiana, Opções vegetarianas",Seg: 19:00-23:30; Ter: 12:00-15:00 19:00-23:30; Qua: 12:00-15:00 19:00-23:30; Qui: 12:00-16:30 19:00-23:30; Sex: 12:00-16:30 19:00-23:30; Sáb: 12:00-16:30 19:00-23:30; Dom: 12:00-16:30 19:00-23:30,54.00 À 140.00,97,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Casa dos Contos,"Estação Central (Metrô de Belo Horizonte) R. Rio Grande do Norte, 1065",Minas Gerais,Belo Horizonte,Brasil,30130-130,6902,4.1,4.5,4.0,Sem Avaliação,4.0,#42 de 18306 restaurantes em Belo Horizonte,Sem Informação,@casadoscontos,+55 31 3261-5853,Brasileira,Seg: 11:30-00:00; Ter: 11:30-00:00; Qua: 11:30-00:00; Qui: 11:30-00:00; Sex: 11:30-02:00; Sáb: 11:30-02:00; Dom: 11:30-00:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
O Italiano Restaurante,"Rua São Vicente, 155",Belo Horizonte,Próximo à BR040 e BR262 - Olhos D'Água,Minas Gerais,Brasil,3308,4.0,4.6,3.4,3.8,4.0,#43 de 18306 restaurantes em Belo Horizonte,oitalianorestaurante.com.br,@oitalianorestaurante,+55 31 99767-5190,Italiana,Seg: Fechado; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 12:00-15:30 18:00-23:00; Sáb: 12:00-16:30 19:00-23:00; Dom: 11:30-16:00,140.00 À 270.00,205,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Outback Steakhouse,"Av. do Contorno, 6061",Shopping Pátio Savassi,Savassi,Belo Horizonte,Minas Gerais,16256,4.4,4.5,4.5,4.4,4.5,#44 de 18306 restaurantes em Belo Horizonte,outback.com.br,@outbackbrasil,+55 31 3288-3763,"Churrascarias, Australiana",Seg: 12:00-22:30; Ter: 12:00-22:30; Qua: 12:00-22:30; Qui: 12:00-22:30; Sex: 11:30-23:00; Sáb: 11:30-23:00; Dom: 12:00-22:00,140.00 À 270.00,205,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Pellegrino Restaurante,"R. Laranjal, 459",Minas Gerais,Belo Horizonte,Brasil,30310-700,1986,4.2,4.6,4.0,4.2,4.0,#45 de 18306 restaurantes em Belo Horizonte,Sem Informação,@pellegrinorestaurante,+55 31 2526-1085,Deli,Seg: Fechado; Ter: 18:30-23:00; Qua: 18:30-23:00; Qui: 18:30-23:00; Sex: 18:30-00:00; Sáb: 13:00-17:00 19:00-00:00; Dom: 12:30-17:00,68.00 À 96.00,82,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante do Porto — O PORTO DO BACALHAU,"Estação Central (Metrô de Belo Horizonte) Rua Espírito Santo, 1507",Belo Horizonte,Lourdes,Minas Gerais,Brasil,1640,4.4,4.4,4.1,5.0,4.0,#46 de 18306 restaurantes em Belo Horizonte,restaurantedoporto.com.br,@restaurante.do.porto.lourdes,+55 31 3222-7300,"Portuguesa, Frutos do mar",Seg: 11:00-00:00; Ter: 11:00-00:00; Qua: 11:00-00:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-19:00,140.00 À 270.00,205,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Est! Est!! Est!!! Ristorante Italiano,"Estação Santa Efigênia Av. Getúlio Vargas, 107",Minas Gerais,Belo Horizonte,Brasil,30112-020,5895,4.3,4.5,Sem Avaliação,4.3,4.5,#47 de 18306 restaurantes em Belo Horizonte,Sem Informação,@estcucina,+55 31 2526-5852,"Italiana, Opções vegetarianas",Seg: 11:30-15:00 18:00-23:00; Ter: 11:30-15:00 18:00-23:00; Qua: 11:30-15:00 18:00-23:00; Qui: 11:30-15:00 18:00-23:00; Sex: 11:30-15:00 18:00-00:00; Sáb: 12:00-16:00 19:00-00:00; Dom: 12:00-16:00 18:00-21:00,140.00 À 270.00,205,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Me gusta,"Rua Juvenal de Melo Senra, 395",Minas Gerais,Belo Horizonte,Brasil,30320-620,739,3.8,4.5,3.4,3.8,3.5,#48 de 18306 restaurantes em Belo Horizonte,Sem Informação,@megustabh,+55 31 2511-2333,"Brasileira, Opções vegetarianas",Seg: 09:00-21:00; Ter: 09:00-21:00; Qua: 09:00-21:00; Qui: 09:00-21:00; Sex: 09:00-21:00; Sáb: 09:00-21:00; Dom: 09:00-21:00,54.00 À 140.00,97,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Pleno Bistrô,"Estação Central (Metrô de Belo Horizonte) Av. Álvares Cabral, 441",Minas Gerais,Belo Horizonte,Brasil,30170-000,522,4.0,4.5,2.8,4.5,4.0,#49 de 18306 restaurantes em Belo Horizonte,facebook.com,@plenobistro,+55 31 3247-4712,"Brasileira, Contemporânea",Seg: 15:30-23:00; Ter: 15:30-23:00; Qua: 15:30-23:00; Qui: 15:30-23:00; Sex: 15:30-23:00; Sáb: 15:30-23:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Dona Dora Restaurante,"Estação Central (Metrô de Belo Horizonte) Rua Rio De Janeiro, 1186",Minas Gerais,Belo Horizonte,Brasil,30160-041,1115,3.7,4.4,2.9,4.1,4.0,#50 de 18306 restaurantes em Belo Horizonte,facebook.com,@donadorarestaurante,+55 31 3657-8685,"Brasileira, Sul Americana, Contemporânea",Seg: 11:00-15:10 17:00-23:00; Ter: 11:00-15:10 17:00-23:00; Qua: 11:00-15:10 17:00-23:00; Qui: 11:00-15:10 17:00-23:00; Sex: 11:00-15:10 17:00-23:00; Sáb: 11:00-23:00; Dom: Fechado,54.00 À 220.00,137,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Paladino,"Av. Gildo Macedo Lacerda, 300",Minas Gerais,Belo Horizonte,Brasil,31365-745,11515,4.4,4.6,4.2,4.2,4.5,#51 de 18306 restaurantes em Belo Horizonte,Sem Informação,@restaurante_paladino,+55 31 3447-6604,Brasileira,Seg: Fechado; Ter: 11:30-16:00; Qua: 11:30-16:00; Qui: 11:30-16:00; Sex: 11:30-17:00; Sáb: 11:30-17:00; Dom: 11:30-17:00,140.00 À 280.00,210,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Caipira Xique Restaurante,"Rua Jose Joaquim dos Santos Bairro Ceu Azul Nº 188 Bairro Ceu Azul, Nº188",Minas Gerais,Belo Horizonte,Brasil,31550-060,5482,4.3,4.6,4.2,4.1,4.5,#52 de 18306 restaurantes em Belo Horizonte,soucaipiraxique.com.br,@caipira_xique_restaurante,+55 31 3567-9525,Brasileira,Seg: 11:30-15:00; Ter: 11:30-15:00; Qua: 11:30-15:00; Qui: 11:30-15:00; Sex: 11:30-23:30; Sáb: 11:30-23:30; Dom: 12:00-17:00,130.00 À 650.00,390,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Xico da Kafua,"Estação Gameleira Av. Itaú, 1195 João Pinheiro",Minas Gerais,Belo Horizonte,Brasil,30530-044,1605,4.2,4.3,4.0,4.6,4.0,#53 de 18306 restaurantes em Belo Horizonte,Sem Informação,@xicodakafua,+55 31 3375-2640,Brasileira,Seg: 11:30-16:00; Ter: 11:30-16:00; Qua: 11:30-16:00; Qui: 11:30-16:00; Sex: 11:30-16:00; Sáb: 11:30-22:00; Dom: 11:30-16:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Néctar da Serra,"Estação Central (Metrô de Belo Horizonte) R Sta Rita Durão, 929 Savassi",Minas Gerais,Belo Horizonte,Brasil,30140-111,4623,3.9,4.4,4.1,4.1,4.0,#55 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3261-2969,"Brasileira, Sul Americana, Comida Saudável, Opções vegetarianas",Seg: 09:00-22:00; Ter: 09:00-22:00; Qua: 09:00-22:00; Qui: 09:00-22:00; Sex: 09:00-22:00; Sáb: 09:00-22:00; Dom: 10:00-21:00,55.00 À 140.00,97.5,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante do Porto - Cidade Nova,"Estação Santa Inês R. Conselheiro Lafaiete, 2099",Belo Horizonte,Cidade Nova,Minas Gerais,Brasil,2978,4.3,4.6,4.2,4.1,4.0,#56 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3482-9870,Portuguesa,Seg: Fechado; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 10:30-18:00,140.00 À 270.00,205,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Il Limoncello,"Estação Santa Efigênia Rua Bernardo Guimarães, 577",Minas Gerais,Belo Horizonte,Brasil,30140-080,170,4.4,4.5,Sem Avaliação,4.6,4.0,#58 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 3225-3628,"Italiana, Frutos do mar",Seg: 19:30-23:30; Ter: 19:30-23:30; Qua: 19:30-23:30; Qui: 19:30-23:30; Sex: 19:30-23:30; Sáb: 19:30-23:30; Dom: Fechado,140.00 À 270.00,205,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
Província di Salerno,"Estação Santa Efigênia Rua Maranhão, 18 Sta Efigênia",Minas Gerais,Belo Horizonte,Brasil,30150-330,3299,4.4,4.6,4.3,4.5,4.5,#59 de 18306 restaurantes em Belo Horizonte,provincia.com.br,@provinciadisalerno,+55 31 3241-2205,"Italiana, Opções vegetarianas",Seg: 12:00-15:00; Ter: 12:00-15:00 19:00-01:30; Qua: 12:00-15:00 19:00-01:30; Qui: 12:00-15:00 19:00-01:30; Sex: 12:00-15:00 19:00-01:30; Sáb: 12:00-16:00 19:00-01:30; Dom: 12:00-17:00,81.00 À 290.00,185.5,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Chalé da Mata Restaurante,"Av. Eng. Carlos Goulart, 1123",Belo Horizonte,Buritis,Minas Gerais,Brasil,6780,4.2,4.5,4.3,4.3,4.0,#60 de 18306 restaurantes em Belo Horizonte,chaledamata.com.br,@chaledamatarestaurante,+55 31 3378-7272,Brasileira,Seg: 11:00-15:00; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00; Sáb: 11:00-16:00; Dom: 11:00-16:00,54.00 À 140.00,97,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Per Lui Restaurante,"R. Muzambinho, 608",Minas Gerais,Belo Horizonte,Brasil,30210-530,206,4.7,4.8,Sem Avaliação,Sem Avaliação,4.5,#61 de 18306 restaurantes em Belo Horizonte,perluibh.com.br,@lamparina.cachacaria,+55 31 98365-9397,Contemporânea,Seg: Fechado; Ter: 19:00-00:00; Qua: 19:00-00:00; Qui: 19:00-00:00; Sex: 19:00-00:00; Sáb: 19:00-00:00; Dom: Fechado,270.00,270,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não
Vila Árabe,"Estação Central (Metrô de Belo Horizonte) Rua Pernambuco, 781",Belo Horizonte,Savassi,Minas Gerais,Brasil,3813,4.2,4.5,4.3,4.0,4.0,#67 de 18306 restaurantes em Belo Horizonte,vilaarabe.com.br,@vilaarabe,+55 31 3262-1600,"Oriente Médio, Libanesa, Opções vegetarianas",Seg: 09:00-22:00; Ter: 09:00-22:00; Qua: 09:00-22:00; Qui: 09:00-22:00; Sex: 09:00-22:00; Sáb: 09:00-22:00; Dom: 09:00-16:00,140.00 À 270.00,205,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Pitaya,"Estação Central (Metrô de Belo Horizonte) Av. João Pinheiro, 232",Minas Gerais,Belo Horizonte,Brasil,30130-180,126,4.2,4.4,3.8,Sem Avaliação,4.5,#69 de 18306 restaurantes em Belo Horizonte,facebook.com,@restaurante.pitaya,+55 31 99105-9666,"Brasileira, Grega, Sul Americana, Sushi",Seg: 08:00-16:00; Ter: 08:00-16:00; Qua: 08:00-16:00; Qui: 08:00-16:00; Sex: 08:00-16:00; Sáb: Fechado; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
