Nome,Endereço,Estado,Cidade,País,CEP,Total de Avaliações,Média de Avaliações,Avaliação Google,Avaliação Foursquare,Avaliação Facebook,Avaliação Trip,Posição no Ranking da Cidade,Site,Instagram,Telefone,Tipos de Cozinha,Horário,Faixa de Preço por Pessoa,Preço Médio por Pessoa,Estacionamento,Lugares Ao Ar Livre,Wi-Fi,Reserva,Entrega,Para Viagem,Música,TV,Acessível a cadeiras de rodas,Crianças,Grupos Grandes,Serviço de Garçom
Vila Chalezinho,"Alameda Oscar Niemeyer, 132 - loja 5",Minas Gerais,Nova Lima,Brasil,34006-049,490,3.8,4.3,Sem Avaliação,3.9,4.0,#1 de 41 restaurantes italianos em Nova Lima,vilachalezinho.com.br,@vilachalezinho,+55 31 3097-2019,"Europeia, Internacional, Contemporânea, Suíça, Opções vegetarianas",Seg: 18:30-00:00; Ter: 18:30-00:00; Qua: 18:30-00:00; Qui: 18:30-01:00; Sex: 18:30-01:00; Sáb: 18:30-01:00; Dom: Fechado,270.00,270,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Tradição de Minas,"Estação Gameleira R. Monte Líbano, 121",Minas Gerais,Belo Horizonte,Brasil,30730-450,7837,3.9,4.4,4.0,3.9,4.0,#99 de 18306 restaurantes em Belo Horizonte,tradicaodeminas.com.br,@tradicaodeminas1996,+55 31 3411-2324,"Brasileira, Grelhada, Opções vegetarianas",Seg: 11:00-15:00; Ter: 11:00-15:00 17:30-00:00; Qua: 11:00-15:00 17:30-00:00; Qui: 11:00-15:00 17:30-00:00; Sex: 11:00-15:00 17:30-00:00; Sáb: 11:00-00:00; Dom: 11:00-22:30,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
A Granel,"Av. Do Contorno, 6061 - Lj 136 Piso 1 São Pedro",Minas Gerais,Belo Horizonte,Brasil,30110-930,1355,4.1,4.4,3.5,4.5,4.0,#21 de 3071 cafeterias em Belo Horizonte,agranel.com.br,@meupatiosavassi,+55 31 3288-3875,"Brasileira, Opções vegetarianas",Seg: 11:00-21:30; Ter: 11:00-21:30; Qua: 11:00-21:30; Qui: 11:00-21:30; Sex: 11:00-21:30; Sáb: 11:00-21:30; Dom: 11:00-21:30,55.00 À 140.00,97.5,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Wanted Hamburgueria Artesanal - Luxemburgo,"Rua Guaicuí, 297 - Loja 10",Minas Gerais,Belo Horizonte,Brasil,30380-380,278,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#205 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3658-7115,Fast Food,Seg: Fechado; Ter: 18:00-23:30; Qua: 18:00-23:30; Qui: 18:00-23:30; Sex: 18:00-00:00; Sáb: 18:00-00:00; Dom: 18:00-23:30,Sem Informação,Sem Informação,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Comidaria Guerra,"Estação Lagoinha Av. Olegário Maciel, 742 - 3 Andar Lj3230",Minas Gerais,Belo Horizonte,Brasil,30180-916,237,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#206 de 18306 restaurantes em Belo Horizonte,Sem Informação,@comidariaguerra,+55 31 99787-3087,Não especificado,Seg: Fechado; Ter: 10:00-22:00; Qua: 10:00-22:00; Qui: 10:00-00:00; Sex: 10:00-00:00; Sáb: 10:00-00:00; Dom: 10:00-18:00,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Comidas Fit e Low carb- Fit Point Gourmet Mangabeiras- - EVS Herbalife BH,"Av. dos Bandeirantes, 1839",Minas Gerais,Belo Horizonte,Brasil,30310-333,92,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#209 de 18306 restaurantes em Belo Horizonte,fitpointgourmet.com.br,@fitpointgourmet_mangabeiras,+55 31 98726-4430,Não especificado,Seg: 08:00-18:00; Ter: 08:00-18:00; Qua: 08:00-18:00; Qui: 08:00-18:00; Sex: 08:00-18:00; Sáb: 09:00-13:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Restaurante Casa Do Peixe,"R. das Perpétuas, 124",Minas Gerais,Belo Horizonte,Brasil,30690-270,637,4.7,4.6,Sem Avaliação,4.8,Sem Avaliação,#210 de 18306 restaurantes em Belo Horizonte,contate.me,@casadopeixelindeia,+55 31 3387-9175,Frutos do mar,Seg: Fechado; Ter: 18:00-22:30; Qua: 18:00-22:30; Qui: 18:00-22:30; Sex: 18:00-22:30; Sáb: 18:00-22:30; Dom: 18:00-22:30,55.00 À 140.00,97.5,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Sabor & Tal Kit Festa e Salgados ZAP 31975802020 entrega RÁPIDA,"Estação Vila Oeste Rua João Pires 245 bairro Jardinópolis, Belo Horizonte",Brasil,Minas Gerais,30512-600,Sem Informação,1154,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#212 de 18306 restaurantes em Belo Horizonte,Sem Informação,@sabor.e.tal,+55 31 97580-2020,Não especificado,Seg: 11:00-21:00; Ter: 11:00-21:00; Qua: 11:00-21:00; Qui: 11:00-21:00; Sex: 11:00-21:00; Sáb: 11:00-21:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Nino,"R. Curitiba, 2090",Minas Gerais,Belo Horizonte,Brasil,30170-127,938,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#215 de 18306 restaurantes em Belo Horizonte,alifenino.com.br,@alifenino,+55 11 3368-6863,"Italiana, Opções vegetarianas",Seg: 12:00-15:00 19:00-23:00; Ter: 12:00-15:00 19:00-23:00; Qua: 12:00-15:00 19:00-23:00; Qui: 12:00-15:00 19:00-23:00; Sex: 12:00-16:00 19:00-00:00; Sáb: 12:00-16:00 19:00-00:00; Dom: 12:00-20:00,270.00,270.0,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
Pizza Pezzi - Savassi,"R. Pernambuco, 1095",Minas Gerais,Belo Horizonte,Brasil,30130-151,822,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#216 de 18306 restaurantes em Belo Horizonte,pizzapezzi.com.br,@pizzapezzibh,+55 31 3889-0615,"Pizza, Opções vegetarianas",Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-23:00,Sem Informação,Sem Informação,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Paladar Mineiro Restaurante,"R. José Benevides da Silveira, n° 84",Minas Gerais,Belo Horizonte,Brasil,31570-200,575,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#217 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 98751-6243,Não especificado,Seg: 11:30-17:00; Ter: 11:30-00:00; Qua: 11:30-00:00; Qui: 11:30-00:00; Sex: 11:30-00:00; Sáb: 11:30-00:00; Dom: 11:30-00:00,Sem Informação,Sem Informação,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
Pizza Pezzi - Coração Eucarístico,"Estação Gameleira Rua Coração Eucarístico de Jesus, 236",Minas Gerais,Belo Horizonte,Brasil,30535-460,522,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#218 de 18306 restaurantes em Belo Horizonte,pizzapezzi.com.br,@pizzapezzibh,+55 31 3309-9292,"Pizza, Opções vegetarianas",Seg: 11:30-22:45; Ter: 11:30-22:45; Qua: 11:30-22:45; Qui: 11:30-22:45; Sex: 11:30-22:45; Sáb: 11:30-22:45; Dom: 11:30-22:45,Sem Informação,Sem Informação,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante FiChips Pampulha,"Rua Zilah Correia de Araújo, 13 - Loja 5",Minas Gerais,Belo Horizonte,Brasil,31310-530,404,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#219 de 18306 restaurantes em Belo Horizonte,dguests.com,@fichips_pampulha,+55 31 99570-1796,Britânica,Seg: 11:30-22:00; Ter: 11:30-22:00; Qua: 11:30-22:00; Qui: 11:30-22:00; Sex: 11:30-00:00; Sáb: 12:00-00:00; Dom: 11:30-22:00,140.00 À 270.00,205.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Cantinho do Peixe,"R. Antônio Teixeira Dias, 1770",Minas Gerais,Belo Horizonte,Brasil,30642-270,394,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#220 de 18306 restaurantes em Belo Horizonte,Sem Informação,@cantinhodopeixeltda,+55 31 99105-6562,Brasileira,Seg: Fechado; Ter: 18:30-23:30; Qua: 18:30-23:30; Qui: 18:30-23:30; Sex: 18:30-23:30; Sáb: 18:30-23:30; Dom: 18:30-23:30,Sem Informação,Sem Informação,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Recanto do Surubim Padre Eustáquio,"Estação Calafate Rua Aquidaban, 659",Minas Gerais,Belo Horizonte,Brasil,30720-420,351,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#221 de 18306 restaurantes em Belo Horizonte,Sem Informação,@recantodosurubim_,+55 31 3646-9281,Não especificado,Seg: 11:00-15:00; Ter: 11:00-15:00 18:00-23:00; Qua: 11:00-15:00 18:00-23:00; Qui: 11:00-15:00 18:00-23:00; Sex: 11:00-15:00 18:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-18:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
AREQUIPA CULINARIA PERUANA,"R. Lagoa Santa, 106",Minas Gerais,Belo Horizonte,Brasil,30710-090,84,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#223 de 18306 restaurantes em Belo Horizonte,wa.me,@whatsapp,+55 31 99215-6957,Não especificado,Seg: 11:30-22:00; Ter: 11:30-22:00; Qua: 11:30-22:00; Qui: 11:00-22:00; Sex: 11:00-22:00; Sáb: 11:00-22:30; Dom: 11:00-18:00,Sem Informação,Sem Informação,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Cabaña Restaurante Bh,"Estação Carlos Prates Av. Olegário Maciel, 1600",Minas Gerais,Belo Horizonte,Brasil,30180-111,773,3.7,4.4,Sem Avaliação,Sem Avaliação,3.0,#224 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 2522-1313,"Argentina, Churrascarias, Churrasco, Grelhada",Seg: 11:00-22:00; Ter: 11:00-22:00; Qua: 11:00-22:00; Qui: 11:00-22:00; Sex: 11:00-22:00; Sáb: 11:00-22:00; Dom: 11:00-22:00,54.00 À 140.00,97.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
Dona Flô,"Av. Olegário Maciel, 742 - Loja 2157 - Corredor H - 2º Andar",Minas Gerais,Belo Horizonte,Brasil,30180-114,83,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#225 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Mexicana,Seg: Fechado; Ter: Fechado; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-23:30; Sáb: 12:00-23:30; Dom: 12:00-18:00,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Ed Mais Bar e Restaurante,"R. Eng. Ocelo Cirino, 343",Minas Gerais,Belo Horizonte,Brasil,30494-075,800,4.7,4.6,4.5,5.0,Sem Avaliação,#226 de 18306 restaurantes em Belo Horizonte,Sem Informação,@edmais_bar_restaurante,+55 31 3378-1420,Brasileira,Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-16:00; Dom: 11:00-16:00,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Girassol,"Estação Santa Efigênia R. Monte Alegre, 91",Minas Gerais,Belo Horizonte,Brasil,30240-230,203,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#227 de 18306 restaurantes em Belo Horizonte,api.whatsapp.com,@whatsapp,+55 31 3657-4984,Não especificado,Seg: 10:30-14:30; Ter: 10:30-14:30; Qua: 10:30-14:30; Qui: 10:30-14:30; Sex: 10:30-14:30; Sáb: Fechado; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Play Pizza,"R. Júlio de Castilho, 194",Minas Gerais,Belo Horizonte,Brasil,30570-080,122,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#230 de 18306 restaurantes em Belo Horizonte,pedir.delivery,Sem Informação,+55 31 99657-0688,"Pizza, Opções vegetarianas",Seg: 18:00-23:30; Ter: 18:00-23:30; Qua: 18:00-23:30; Qui: 18:00-23:30; Sex: 18:00-23:30; Sáb: 18:00-23:30; Dom: 18:00-23:30,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
Cantina do Lucas,"Estação Central (Metrô de Belo Horizonte) Av. Augusto de Lima, 233 - loja 18 Centro",Minas Gerais,Belo Horizonte,Brasil,30190-001,4711,4.2,4.5,3.9,Sem Avaliação,4.0,#231 de 18306 restaurantes em Belo Horizonte,cantinadolucas.com.br,@cantinadolucas,+55 31 3226-7153,Italiana,Seg: 11:30-00:00; Ter: 11:30-00:00; Qua: 11:30-00:00; Qui: 11:30-00:00; Sex: 11:30-02:00; Sáb: 11:30-02:00; Dom: 11:30-00:00,54.00 À 140.00,97.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Gosto Bom,"R. São Teófilo, 430",Minas Gerais,Belo Horizonte,Brasil,31995-450,189,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#232 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3437-2824,Não especificado,Seg: 07:30-15:00; Ter: 07:30-15:00; Qua: 07:30-15:00; Qui: 07:30-15:00; Sex: 07:30-15:00; Sáb: 07:30-15:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Restaurante Novo Paladar,"Av. Antônio Abrahão Caram, 764",Minas Gerais,Belo Horizonte,Brasil,31275-000,198,4.0,4.4,2.7,4.8,Sem Avaliação,#233 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 34911414,Brasileira,Seg: 08:00-17:00; Ter: 08:00-17:00; Qua: 08:00-17:00; Qui: 08:00-17:00; Sex: 08:00-17:00; Sáb: 08:00-16:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
Marvel Burguer,"Estação Waldomiro Lobo R. João Dornas Filho, 280",Minas Gerais,Belo Horizonte,Brasil,31842-430,299,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#237 de 18306 restaurantes em Belo Horizonte,pedido.anota.ai,@marvelburgueralimentos,+55 31 99984-2306,Fast Food,Seg: Fechado; Ter: 18:00-00:00; Qua: 19:00-00:00; Qui: 18:00-00:00; Sex: 18:00-00:00; Sáb: 18:00-00:00; Dom: 18:00-00:00,Sem Informação,Sem Informação,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Marmitas da Simone,"R. Omar Gomes de Loredo, 128",Minas Gerais,Belo Horizonte,Brasil,30664-580,166,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#239 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 98908-3352,Não especificado,Seg: 11:00-15:00; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00; Sáb: 11:00-15:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Pizza ao Ponto,"Av. Manoel Salles Barbosa, 75",Minas Gerais,Belo Horizonte,Brasil,30626-400,64,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#241 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 97229-5025,Pizza,Seg: Fechado; Ter: 18:30-23:30; Qua: 18:30-23:30; Qui: 18:30-23:30; Sex: 18:30-23:30; Sáb: 18:30-23:30; Dom: 18:30-23:30,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Curry Up! - Bistrô Indiano,"Estação Santa Efigênia R. do Ouro, 327",Minas Gerais,Belo Horizonte,Brasil,30220-000,256,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#242 de 18306 restaurantes em Belo Horizonte,linktr.ee,@curryup_bistroindiano,+55 31 98341-8561,"Indiana, Vegetariana",Seg: Fechado; Ter: 11:30-15:30 18:00-22:30; Qua: 11:30-15:30 18:00-22:30; Qui: 11:30-15:30 18:00-22:30; Sex: 11:30-15:30 18:00-22:30; Sáb: 11:30-15:30 18:00-22:30; Dom: 11:30-16:00 18:00-22:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
MARMITARIA SABORES DE MINAS,"Estação Central (Metrô de Belo Horizonte) R. Pte. Nova, 798",Minas Gerais,Belo Horizonte,Brasil,31110-150,95,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#243 de 18306 restaurantes em Belo Horizonte,Sem Informação,@marmitariasaboresdeminas,+55 31 99513-4321,Não especificado,Seg: 09:00-18:00; Ter: 09:00-20:00; Qua: 09:00-18:00; Qui: 09:00-18:00; Sex: 09:00-20:00; Sáb: 09:00-13:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Cia do Aipim,"R. Demiza, 380",Minas Gerais,Belo Horizonte,Brasil,30514-020,232,4.8,4.7,Sem Avaliação,5.0,Sem Avaliação,#244 de 18306 restaurantes em Belo Horizonte,Sem Informação,@ciadoaipim,+55 31 98690-5958,Não especificado,Seg: Fechado; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-00:00; Sáb: 18:00-00:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
The Brother's Pizzaria,"Padre feijo 890 Auto, Belo Horizonte",Brasil,Minas Gerais,30285-350,Sem Informação,58,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#245 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 99266-6870,Pizza,Seg: Fechado; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-23:00; Sáb: 18:00-23:00; Dom: 18:00-23:00,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Sushi Wtah Delivery,"R. Pedra de Anil, 190",Minas Gerais,Belo Horizonte,Brasil,31535-252,254,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#174 de 18306 restaurantes em Belo Horizonte,Sem Informação,@taiyosushideliverybh,+55 31 98656-7068,Não especificado,Seg: Fechado; Ter: 17:00-22:30; Qua: 17:00-22:30; Qui: 17:00-22:30; Sex: 17:00-22:30; Sáb: 17:00-22:30; Dom: 17:00-22:30,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
JAH BETÂNIA - Açaí Sorvete Picolé,"Praça de Alimentação Central Park - R. Úrsula Paulino, 1321",Minas Gerais,Belo Horizonte,Brasil,30580-353,252,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#175 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 99182-7494,Não especificado,Seg: 11:00-22:00; Ter: 11:00-22:00; Qua: 11:00-22:00; Qui: 11:00-22:00; Sex: 11:00-22:00; Sáb: 11:00-22:00; Dom: 11:00-22:00,55.00 À 140.00,97.5,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Cambuquira,"R. João Lemos, 41",Minas Gerais,Belo Horizonte,Brasil,31995-150,77,4.9,4.8,Sem Avaliação,5.0,Sem Avaliação,#176 de 18306 restaurantes em Belo Horizonte,Sem Informação,@cambuquiramarmitaria,+55 31 99835-6596,Não especificado,Seg: 08:30-14:00; Ter: 08:30-14:00; Qua: 08:30-14:00; Qui: 08:30-14:00; Sex: 08:30-14:00; Sáb: 08:30-14:00; Dom: Fechado,54.00 À 140.00,97.0,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Nacho Man Prado - BH - Restaurante Mexicano,"Av. Francisco Sá, 383",Minas Gerais,Belo Horizonte,Brasil,30411-174,1013,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#178 de 18306 restaurantes em Belo Horizonte,nachomanbrasil.com.br,@nachoman_oficial,+55 31 98289-5965,"Mexicana, Opções vegetarianas",Seg: Fechado; Ter: 18:00-22:30; Qua: 18:00-22:30; Qui: 18:00-22:30; Sex: 18:00-23:00; Sáb: 18:00-23:00; Dom: 18:00-22:00,Sem Informação,Sem Informação,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Montê Bar - Restaurante,"Praça Rui Barbosa, 104",Minas Gerais,Belo Horizonte,Brasil,30160-000,5196,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#179 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 98309-7265,Bar de Coquetéis,Seg: Fechado; Ter: Fechado; Qua: 17:30-01:00; Qui: 17:30-01:00; Sex: 17:30-02:00; Sáb: 17:30-02:00; Dom: 13:30-20:00,Sem Informação,Sem Informação,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
Potere pizza,"Estação Minas Shopping Av. Joaquim José Diniz, 944",Minas Gerais,Belo Horizonte,Brasil,31910-529,228,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#180 de 18306 restaurantes em Belo Horizonte,poterepizzaria.com,@poterepizza,+55 31 99818-1234,"Pizza, Opções vegetarianas",Seg: Fechado; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-00:00; Sex: 18:00-00:00; Sáb: 18:00-00:00; Dom: 18:00-00:00,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
Cantinho Mineiro restaurante do mateus,"Estação Primeiro de Maio Avenida Sebastião de Brito, 261 5201 9503 504 503",Minas Gerais,Belo Horizonte,Brasil,31255-640,237,3.8,3.9,Sem Avaliação,4.5,3.0,#181 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3267-0010,Brasileira,Seg: 11:00-22:00; Ter: 10:00-00:00; Qua: 10:00-00:00; Qui: 10:00-00:00; Sex: 10:00-00:00; Sáb: 10:00-00:00; Dom: 11:00-17:00,55.00,55.0,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Massa Madre La Rotiseria,"Estação Calafate R. Rio Negro, 640",Minas Gerais,Belo Horizonte,Brasil,30411-208,408,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#182 de 18306 restaurantes em Belo Horizonte,hubt.com.br,@massamadrebh,+55 31 98379-5002,"Argentina, Opções vegetarianas",Seg: Fechado; Ter: 11:30-22:30; Qua: 12:00-22:30; Qui: 12:00-22:30; Sex: 12:00-22:30; Sáb: 12:00-18:00; Dom: Fechado,54.00 À 140.00,97.0,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Pizza Pezzi - Buritis,"Av. Professor Mário Werneck, 1662",Minas Gerais,Belo Horizonte,Brasil,30455-610,349,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#183 de 18306 restaurantes em Belo Horizonte,pizzapezzi.com.br,@pizzapezzibh,+55 31 3643-8009,"Pizza, Opções vegetarianas",Seg: 11:30-22:45; Ter: 11:30-22:45; Qua: 11:45-22:45; Qui: 11:30-22:45; Sex: 11:30-22:45; Sáb: 11:30-22:45; Dom: 11:30-22:45,Sem Informação,Sem Informação,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Marukame,"Estação Carlos Prates Avenida do Contorno, 8863 Gutierrez",Minas Gerais,Belo Horizonte,Brasil,30110-060,1527,4.2,4.5,3.8,4.1,4.5,#184 de 18306 restaurantes em Belo Horizonte,marukame.com.br,@marukamebh,+55 31 2526-9006,"Sushi, Japonesa, Asiática",Seg: Fechado; Ter: 18:00-22:30; Qua: 18:00-22:30; Qui: 18:00-22:30; Sex: 18:00-23:00; Sáb: 18:00-23:00; Dom: 12:00-16:00 18:30-22:00,96.00 À 120.00,108.0,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Shitake Culinária Japonesa,"Estação Carlos Prates Av Olégario Maciel, 1772",Belo Horizonte,Santo Agostinho,Minas Gerais,Brasil,459,3.9,Sem Avaliação,3.5,4.5,4.5,#185 de 18306 restaurantes em Belo Horizonte,shitakebh.com.br,@shitake_bh,+55 31 3335-4633,"Japonesa, Sushi, Opções vegetarianas",Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 18:00-00:00; Sáb: 12:00-00:00; Dom: 12:00-00:00,76.00 À 110.00,93.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Floresta Restaurante e Bar,"Estação Lagoinha R. Machado, 277",Minas Gerais,Belo Horizonte,Brasil,31110-080,1025,4.2,4.4,3.6,4.3,Sem Avaliação,#186 de 18306 restaurantes em Belo Horizonte,barerestaurantefloresta.com.br,@florestarest,+55 31 3568-0159,"Brasileira, Grelhada",Seg: 11:00-15:00; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00; Sáb: 10:00-15:00; Dom: 10:00-15:00,54.00 À 140.00,97.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Doce Experiência,"Estação Waldomiro Lobo R. Nair Pentagna Guimarães, 120",Minas Gerais,Belo Horizonte,Brasil,31741-600,202,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#187 de 18306 restaurantes em Belo Horizonte,Sem Informação,@acaideiramaster,+55 31 99348-7689,Não especificado,Seg: Fechado; Ter: 11:00-21:45; Qua: 11:00-21:45; Qui: 11:00-21:45; Sex: 11:00-21:45; Sáb: 11:00-21:45; Dom: 11:00-21:45,Sem Informação,Sem Informação,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
